department_code,class_department_code,cnt
BLM,MAK,19
BLM,EHM,15
BLM,KOM,13
BLM,MAT,9
BLM,KIM,2
BLM,MKT,1
BLM,IST,1
MTP,DTP,18
BTO,MAT,13
BTO,HRT,9
BTO,ISL,7
BTO,MTM,6
BTO,INS,4
BTO,IST,1
BTO,SBU,1
CEV,HRT,30
CEV,INS,16
CEV,SBP,15
CEV,KOM,6
CEV,KIM,4
CEV,KMM,4
CEV,MIM,3
CEV,IKT,3
CEV,IST,3
CEV,ISL,2
INS,CEV,69
INS,MIM,44
INS,HRT,26
INS,END,19
INS,ISL,10
INS,MAK,3
INS,SBP,2
INS,KOM,1
DTP,MTP,31
DTP,SYP,10
DTP,BSP,2
EHM,BLM,28
EHM,KOM,7
EHM,ELM,6
EHM,FIZ,5
EHM,ISL,4
EHM,KIM,2
EHM,IST,1
KIM,EHM,6
KIM,FBO,5
KIM,FIZ,5
KIM,KMM,4
KIM,MBG,2
KIM,MAT,2
KIM,BTO,1
KIM,SBO,1
ELM,EHM,13
ELM,KOM,13
ELM,INS,12
ELM,ISL,7
ELM,BLM,5
ELM,END,5
ELM,HRT,1
END,MIM,66
END,EHM,41
END,MAK,33
END,BLM,29
END,KMM,18
END,MKT,16
END,GDM,12
END,INS,9
END,KIM,7
END,ISL,6
END,MAT,3
END,SBP,1
END,ELM,1
HRT,INS,15
HRT,MIM,11
HRT,SBP,10
HRT,END,6
HRT,MAT,2
HRT,IKT,2
HRT,IST,2
HRT,ISL,1
MAT,MTM,39
MAT,ISL,10
MAT,GDM,8
MAT,BTO,6
MAK,END,33
MAK,MKT,24
MAK,INS,22
MAK,MIM,16
MAK,ELM,2
MAK,KIM,2
MAK,KMM,2
MAK,ISL,2
MAK,MAT,1
FIZ,MAT,47
FIZ,EHM,20
FIZ,BTO,18
FIZ,ELM,5
FIZ,SBO,2
FIZ,MTM,1
FIZ,ISL,1
FIZ,SBU,1
FIZ,SNF,1
FVP,SYP,5
FVP,ISL,1
IKT,ISL,15
IKT,INS,12
IKT,BYM,11
IKT,MAT,4
IKT,FIZ,2
IKT,SBU,1
ISL,IKT,35
ISL,MAT,14
ISL,ILT,11
ISL,MIM,9
ISL,FIZ,8
ISL,SBP,8
ISL,SBU,7
ISL,HRT,6
ISL,CEV,5
ISL,KIM,4
ISL,ING,3
ISL,IST,1
SBU,IKT,11
SBU,ISL,4
ILT,BSP,19
ILT,SYP,6
ILT,FVP,1
ING,SNF,1
IST,MAT,45
IST,IKT,33
IST,FIZ,26
IST,KIM,8
IST,MTM,2
IST,SBU,1
MIM,ISL,45
MIM,INS,30
MIM,MAT,26
MIM,SBP,24
MIM,FIZ,18
MIM,MAK,16
MIM,HRT,12
MIM,KIM,8
MIM,CEV,3
MIM,IKT,2
MIM,IST,2
MKT,BLM,25
MKT,KOM,18
MKT,EHM,12
MKT,MAK,10
MKT,ISL,4
MKT,ELM,2
MKT,KIM,2
MTM,MAT,89
MTM,MAK,44
MTM,BLM,30
MTM,INS,26
MTM,MIM,21
MTM,KIM,20
MTM,IST,12
MTM,ELM,10
MTM,MBG,10
MTM,KOM,9
MTM,ISL,6
MTM,HRT,3
MTM,IKT,2
MTM,EHM,1
MTM,SBP,1
MTM,FIZ,1
SYP,ILT,32
SYP,FVP,15
SYP,BSP,3
TDE,PDR,12
TDE,BTO,3
TDE,BSP,1
TDE,FVP,1
TDE,IST,1
SBP,MIM,203
KOM,ELM,19
KOM,MKT,12
KOM,FIZ,10
KOM,KIM,8
KOM,BLM,7
KOM,MAK,6
KOM,MAT,4
KOM,ISL,3
BSP,SYP,12
BSP,ILT,5
BSP,FVP,4
GRA,BSP,3
GRA,SYP,1
FBO,SBO,37
FBO,OKL,8
SNF,SBO,46
SNF,OKL,37
SNF,FBO,16
SNF,IST,3
OKL,PDR,147
OKL,SBO,46
OKL,IST,17
OKL,SNF,10
OKL,FBO,3
PDR,SNF,20
PDR,FBO,12
PDR,IKT,8
PDR,ISL,8
PDR,IST,3
PDR,SBO,1
PDR,SBU,1
SBO,SNF,28
SBO,SBU,25
SBO,FBO,1
SBO,PDR,1
KMM,KIM,43
KMM,MAK,30
KMM,END,29
KMM,BYM,22
KMM,MIM,10
KMM,INS,4
KMM,MAT,2
KMM,ELM,2
KMM,GDM,1
MBG,ISL,29
MBG,KIM,3
MBG,BYM,2
BYM,HRT,6
BYM,KMM,6
BYM,CEV,5
BYM,KIM,5
BYM,MBG,2
BYM,ISL,1
GDM,KMM,13
GDM,FIZ,5
GDM,BYM,3
GDM,KIM,3
GDM,FBO,2
GDM,MAT,2
GDM,ISL,1
KVK,IKT,13
KVK,ISL,1
