department_code,social_elective_courses
MAK,"['GRA2024', 'MTP4760', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL4251', 'FEL3340', 'FEL3350', 'FEL3410', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'BED1013', 'BED1014', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1005', 'MDB1007', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'EUT2022', 'DNS1210', 'GIM4101', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4032', 'BED4022', 'BED3042', 'ITB3040', 'ITB2030', 'ITB3210', 'ITB3330', 'ITB2090', 'ITB3570', 'ITB2040', 'ITB3020', 'ITB3550', 'ITB3270', 'ITB3260', 'ITB3220', 'ITB3420', 'ITB3250', 'ITB3130', 'ITB3560', 'ITB3010', 'ITB3150', 'ITB2080', 'ITB4100', 'ITB3390', 'ITB3360', 'ITB2020', 'ITB4930', 'MAK2100', 'MDB4011', 'MDB4021']"
MAT,"['BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'FEL4251', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4021', 'BED4022', 'BED4031', 'BED4032', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'MDB4011']"
MBG,"['MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'INS2462', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'FEL4251', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED3042', 'BED4021', 'BED4022', 'BED4032', 'DNS1210', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MDB4011', 'MDB4021', 'MTP4760']"
MIM,"['BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1019', 'MDB1017', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'KIM2111', 'ILT1611', 'ITB3420', 'ITB3210', 'ITB3130', 'ISL2170', 'ITB3610', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'ITB4100', 'ITB2030', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3150', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3550', 'MIM1412', 'MIM1422', 'MIM2421', 'MIM2411']"
MKT,"['BED1013', 'BED1014', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'EUT2022', 'GRA2024', 'FBO3032', 'FBO3122', 'SNF3061', 'MKT2201', 'MEM4501', 'ISL2560', 'ISL2710', 'EGT2131', 'KIM2111', 'FEL4251', 'BED3011', 'ITB3610', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'ITB3320', 'BED4021', 'ITB3310', 'BED4022', 'BED4031', 'BED4032', 'FBO4221', 'FBO4262', 'ITB2040', 'SBP2082', 'SYP2192', 'SYP3241', 'ILT1611', 'MIM1422', 'ILT1621', 'MIM2421', 'ISL2170', 'ISL2630', 'MIM1412', 'ISL2760', 'HRT2941', 'ISL2901', 'ISL3562', 'MDB1052', 'IST2081', 'INS2462', 'ITB3250', 'ITB3570', 'ITB2020', 'MDB4031', 'ITB3550', 'MDB4041', 'ITB3560', 'ITB4930', 'FIZ1110', 'MDB4011', 'FEL2160', 'MDB4021', 'FEL2270', 'ITB3360', 'FEL2280', 'MIM2411', 'FEL3230', 'PDR2021', 'FEL3240', 'PDR4122', 'FEL3330', 'SBP2031', 'FEL3340', 'SNF2112', 'FEL3350', 'SNF3341', 'FEL3410', 'SNF3122', 'EGT1022', 'EGT1031', 'MTP4760', 'EGT2031', 'TDB4011', 'EGT4041', 'TDB4021', 'TRO2261', 'TDB4031', 'TRO2271', 'TDB4041', 'TRO2281', 'GRA4120', 'TRO2291', 'ITB1680', 'TRO4522', 'TDB4051', 'TRO4532', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'ITB4100', 'ITB2030', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3420']"
MTF,"['MDB1013', 'MDB1015', 'MDB1201', 'MDB2001', 'MDB2003', 'MDB1007', 'BED1014', 'MDB1001', 'MDB1004', 'MDB1009', 'MDB1016', 'MDB1019', 'BED1013', 'EUT2022', 'MDB1003', 'MDB1005', 'MDB1011', 'MDB1017', 'MDB1101', 'GRA2024', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'FEL4251', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'ITB3390', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB4930', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'DNS1210', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3580', 'ITB4100', 'MTP4760']"
MTM,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED4021', 'BED1013', 'MEM4501', 'BED1014', 'MTP4760', 'TRO2261', 'EUT2022', 'DNS1210', 'TRO4522', 'GRA2024', 'MDB1001', 'SNF2112', 'MDB1003', 'TRO4532', 'MDB1004', 'ISL2560', 'MDB1005', 'ISL2710', 'MDB1009', 'ISL2630', 'MDB1007', 'ISL2901', 'FEL4251', 'MDB1011', 'ISL2760', 'MDB1013', 'SBP2031', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'KIM2111', 'MDB1201', 'ILT1611', 'MDB2001', 'MDB2003', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'ITB3040', 'ITB2030', 'ITB3210', 'ITB3330', 'ITB2090', 'ITB3570', 'ITB2040', 'ITB3020', 'ITB3550', 'ITB3270', 'ITB3260', 'ITB3220', 'ITB3420', 'ITB3250', 'ITB3130', 'ITB3560', 'ITB3010', 'ITB3150', 'ITB2080', 'ITB4100', 'ITB3390', 'ITB3360', 'ITB2020', 'ITB4930', 'MDB4011', 'MDB4021', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4022', 'BED4031', 'BED4032']"
MTP,"['TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'ITB4100', 'SYP2192', 'ITB3010', 'SYP3241', 'ITB3020', 'MIM1422', 'ITB3150', 'MIM2421', 'ITB3210', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB3260', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'ITB3330', 'MDB4031', 'ITB3420', 'MDB4041', 'ITB3550', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'ITB2030', 'TDB4021', 'ITB2080', 'TDB4031', 'ITB2090', 'TDB4041', 'GRA4120', 'ITB3130', 'ITB1680', 'ITB3390', 'TDB4051', 'ITB3220', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112']"
OKL,"['PDR2260', 'OKL2250', 'FBO2010', 'EGT2270', 'SBO2010', 'SNF2070', 'SBO2110', 'TRO2840', 'PDR2270', 'TRO2850', 'BTO2910', 'ING2170', 'SNF2050', 'SNF2080', 'TRO2860', 'SBO2210', 'SNF2090', 'SBO2310', 'SBO2270', 'SBO2930', 'SBO2920']"
PDR,"['SBO2270', 'SBO2930', 'SBO2920', 'EGT2270', 'BTO2910', 'ING2170', 'OKL2250', 'PDR2260', 'PDR2270', 'SBO2010', 'SBO2110', 'SBO2210', 'SBO2310', 'SNF2050', 'SNF2070', 'SNF2080', 'SNF2090', 'TRO2840', 'TRO2850', 'TRO2860']"
SBO,"['BTO2910', 'EGT2270', 'FBO2010', 'ING2170', 'OKL2250', 'PDR2260', 'PDR2270', 'SBO2010', 'SBO2210', 'SBO2310', 'SNF2050', 'SNF2070', 'SNF2080', 'SNF2090', 'TRO2840', 'TRO2850', 'TRO2860', 'SBO2270', 'SBO2930', 'SBO2920']"
SBP,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM2421', 'HRT2941', 'MDB1052', 'INS2462', 'BED1013', 'FIZ1110', 'BED1014', 'FEL2160', 'EUT2022', 'FEL2270', 'GRA2024', 'FEL2280', 'MDB1001', 'FEL3230', 'MDB1003', 'FEL3240', 'MDB1004', 'FEL3330', 'MDB1005', 'FEL3340', 'MDB1007', 'FEL3350', 'MDB1009', 'FEL3410', 'MDB1011', 'MDB1013', 'MDB1015', 'MTP4760', 'MDB1016', 'TDB4011', 'MDB1017', 'TDB4021', 'MDB1019', 'TDB4031', 'MDB1101', 'TDB4041', 'MDB1201', 'GRA4120', 'MDB2001', 'ITB1680', 'MDB2003', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4021', 'BED4022', 'BED4031', 'BED4032', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'MDB4051', 'MIM1412', 'MIM1422', 'MIM2411']"
SBU,"['EGT4041', 'EGT2031', 'BED4021', 'BED3051', 'BED3012', 'BED1013', 'BED1014', 'EUT2022', 'MEM4501', 'GRA2024', 'TRO2261', 'MDB1001', 'TRO4522', 'MDB1003', 'MDB1004', 'SNF2112', 'MDB1005', 'TRO4532', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'SBP2031', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'KIM2111', 'MDB2003', 'ILT1611', 'ISL2170', 'ITB3010', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM2421', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'BED3011', 'BED3041', 'BED3042', 'BED4022', 'BED4031', 'BED4032', 'ISL2560', 'ISL2630', 'ISL2710', 'ISL2760', 'ISL2901', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MIM1422', 'MIM2411']"
SNF,"['ILT3501', 'SBO2270', 'SBO2930', 'SBO2920', 'EGT2270', 'FBO2010', 'ING2170', 'OKL2250', 'PDR2260', 'PDR2270', 'SBO2010', 'SBO2110', 'SBO2210', 'SBO2310', 'TRO2840', 'TRO2850', 'TRO2860', 'SNF2050', 'SNF2070', 'SNF2080', 'SNF2090', 'BTO2910']"
SYP,"['ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB3330', 'ITB2090', 'ITB3150', 'KIM2111', 'ILT1611', 'ITB3260', 'ITB3420', 'ITB3210', 'ITB3220', 'ITB3130', 'ISL2170', 'ITB3010', 'ITB3610', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB3390', 'ITB2030', 'TRO2291', 'ITB4100', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'ISS1132', 'ISS1032', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630']"
TDE,"['ITB3420', 'ITB3040', 'ITB3130', 'ITB3020', 'ITB3330', 'ITB3550', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB2090', 'ITB3150', 'KIM2111', 'ILT1611', 'ITB3260', 'ITB3210', 'ITB3220', 'ISL2170', 'ITB3610', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB3390', 'ITB2030', 'TRO2291', 'ILT1621', 'ITB3010', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'ITB3270', 'ITB4100']"
